CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
0;net.sf.xisemele.exception.AttributeNotPermittedExceptionTest$null;7;11;0;0;0;0;0;0;0;0;0
0;net.sf.xisemele.exception.ChildNotFoundExceptionTest$null;7;6;0;0;0;0;0;0;0;0;0
0;net.sf.xisemele.exception.ElementIndexOutOfBoundsExceptionTest$null;7;14;0;0;0;0;0;0;0;0;0
1;net.sf.xisemele.exception.ElementNotFoundExceptionTest$null;6;5;0;0;0;0;0;0;0;0;0
1;net.sf.xisemele.exception.InvalidNameExceptionTest$null;7;5;0;0;0;0;0;0;0;0;0
1;net.sf.xisemele.exception.NotWithinContextExceptionTest$null;6;4;0;0;0;0;0;0;0;0;0
1;net.sf.xisemele.exception.ParseXMLExceptionTest$null;8;5;0;0;0;0;0;0;0;0;0
2;net.sf.xisemele.exception.RemoveRootNotPermittedExceptionTest$null;6;5;0;0;0;0;0;0;0;0;0
2;net.sf.xisemele.exception.RootDuplicateExceptionTest$null;6;5;0;0;0;0;0;0;0;0;0
2;net.sf.xisemele.exception.TransformExceptionTest$null;7;4;0;0;0;0;0;0;0;0;0
2;net.sf.xisemele.exception.ValueNotPermittedExceptionTest$null;6;4;0;0;0;0;0;0;0;0;0
3;net.sf.xisemele.exception.WithinContextDuplicateExceptionTest$null;6;4;0;0;0;0;0;0;0;0;0
3;net.sf.xisemele.exception.WithinContextNotPermittedExceptionTest$null;6;4;0;0;0;0;0;0;0;0;0
3;net.sf.xisemele.exception.XisemeleIOExceptionTest$null;7;4;0;0;0;0;0;0;0;0;0
4;net.sf.xisemele.impl.NullErrorHandlerTest$null;6;2;0;0;0;0;0;0;0;0;0
4;net.sf.xisemele.impl.XisemeleFactoryTest$null;15;14;0;0;0;0;0;0;0;0;0
